# WIC6-J1-J2 WG6-A-B WF6-J01-J02 040-A-B WST4-J1-J2 042-A-B WLNA3-J05-J06 045-A-B WST8-J1-J2 051-A-B WISOK6-1-2 052-A-B WD6-J1-J3 053-A-B WISOK17-1-2 167-A-B WSC11-J3-J2 170-A-B WST11-J1-J3 WU43.1-J2-J1 067-A-B WU43.2-J1-J2 WST17-J3-J2 394-A-B WST43-J1-J2 184-A-B W3CN6-J01-J02 185-A-B WST52-J1-J2 215-A-B WDTP1-J68-J29 223-A-B WST58-J1-J2 236-A-B WU60-J1-J2 W4CN3-J21-J22 237-A-B WST63-J1-J2 249-A-B WF15-J1-J2 250-A-B WISOK19-1-2 251-A-B WD7-1-3 252-A-B WISOK23-1-2 253-A-B WU66-J1-J2 WST67-J1-J2 294-A-B W5CN2-J01-J02 300-A-B WST71-J1-J2 311-A-B WISOK39-1-2 312-A-B WU71-J1-J2 WD15-J1-J3 313-A-B WISOK41-1-2 WU75-J2-J1 314-A-B WIM1-I1-O1 WU82-J2-J1 338-A-B WST76-J1-J2 349-A-B WU89-J1-J2 WCPA2-J01A-J02A 2AT-A-B WU2A-J1-J2 WTW2A-Input-Output WG13.1-A-B WG13.2-A-B WG13.3-A-B WISO3-J01-J02 WG14-A-B WSR3-J4-J2 WG15.1-A-B WG15.2-A-B WG15.3-A-B WG15.4-A-B WOM2-J01-J08 WG37.1-A-B WG37.2-A-B WG37.3-A-B WG37.4-A-B WOC1-1-2
# 6645.0_80.0_-45.0H_CIF-5800.0G30.0_SKA17980_KKA0_MLO10_
DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -455}
# Ch1
# Freq, Gain 
20215,-5
20219,-5
20219,-3.3
20229,-3.3
20229,-1.7
20235,-1.7
20235,-1.5
20275,-1.5
20275,-1.7
20281,-1.7
20281,-3.3
20291,-3.3
20291,-5
20295,-5
