# WIC2-J1-J2 WG2-A-B WF2-J01-J02 002-A-B WSC2-J4-J3 006-A-B WLNA1-J08-J09 010-A-B WSC4-J3-J2 017-A-B WISOK2-1-2 018-A-B WD2-J1-J3 019-A-B WISOK9-1-2 020-A-B WSC9-J1-J2 168-A-B WST9-J1-J3 WU37.1-J2-J1 061-A-B WU37.2-J1-J2 WST15-J3-J2 150-A-B WST39-J1-J2 176-A-B W3CN2-J01-J02 177-A-B WST48-J1-J2 211-A-B WDTP1-J28-J49 225-A-B WST60-J1-J2 240-A-B WU62-J1-J2 W4CN2-J21-J22 241-A-B WST65-J1-J2 263-A-B WF17-J1-J2 264-A-B WISOK21-1-2 265-A-B WD9-1-3 266-A-B WISOK27-1-2 267-A-B WU68-J1-J2 WST69-J1-J2 296-A-B W5CN4-J01-J02 302-A-B WST73-J1-J2 WU73.1-J2-J1 326-A-B WU73.2-J1-J2 WSC17-J4-J3 327-A-B WIM2-I1-O1 341-A-B WSC22-J1-J4 345-A-B WST81-J1-J2 362-A-B W6CN2-J01-J02 363-A-B WSX4-J2-J1 WSCW1-J3-J2 WSX1-J1-J2 367-A-B WSX1M-J2-J1 WSA1-J1-J4 WSX4M-J1-J2 369-A-B WCP1M-J1-J2 370-A-B WTW1M-Input-Output WAD1.1-A-B WG42.1-A-B WG42.2-A-B WG42.3-A-B WAD1.2-A-B WS1M-I/P-0/P WAD1.3-A-B WG43.1-A-B WG43.2-A-B WAD1.4-A-B WSA3-J1-J2 WAD1.13-A-B WG48-A-B WAD5.1-A-B WOM1-J01-J03 WAD8-A-B WG49-A-B WOC2-1-2
# 5725.0_250.0_-45.0H_CIF-5050.0G30.0_SKA18740_KKA11570_MLO10_DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -320}
# Ch6M, bsk1_id:3644
# Freq, Delay 
32510,70
32547,70
32547,9
32567,9
32567,7
32597,7
32597,6
32657,6
32657,7
32687,7
32687,9
32707,9
32707,70
32744,70
