# WIC1-J1-J2 WG1-A-B WF1-J01-J02 001-A-B WSC1-J4-J1 003-A-B WLNA1-J02-J03 007-A-B WSC3-J1-J2 011-A-B WISOK1-1-2 012-A-B WD1-J1-J3 013-A-B WISOK7-1-2 014-A-B WSC10-J1-J2 169-A-B WST10-J1-J3 WU39.1-J2-J1 064-A-B WU39.2-J1-J2 WST16-J3-J2 151-A-B WST40-J1-J4 199-B-A WST41-J3-J2 180-A-B W3CN4-J01-J02 181-A-B WST50-J1-J3 207-A-B WST49-J4-J2 212-A-B WDTP1-J38-J39 224-A-B WST59-J1-J2 238-A-B WU61-J1-J2 W4CN2-J11-J12 239-A-B WST64-J1-J2 256-A-B WF16-J1-J2 257-A-B WISOK20-1-2 258-A-B WD8-1-3 259-A-B WISOK25-1-2 260-A-B WU67-J1-J2 WST68-J1-J2 295-A-B W5CN3-J01-J02 301-A-B WST72-J1-J2 318-A-B WISOK40-1-2 319-A-B WU72-J1-J2 WD16-J1-J2 322-A-B WISOK44-1-2 323-A-B WSC16-J4-J1 324-A-B WIM1-I4-O4 WU84-J2-J1 340-A-B WST78-J1-J2 351-A-B WU91-J1-J2 WCPA3-J01A-J02A 3AT-A-B WU3A-J1-J2 WTW3A-Input-Output WG19.1-A-B WG19.2-A-B WG19.3-A-B WISO5-J01-J02 WG20-A-B WSR5-J4-J2 WG21.1-A-B WG21.2-A-B WG21.3-A-B WG21.4-A-B WOM2-J04-J08 WG37.1-A-B WG37.2-A-B WG37.3-A-B WG37.4-A-B WOC1-1-2
# 5725.0_80.0_-45.0H_CIF-5050.0G30.0_SKA18220_KKA0_MLO10_DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -240}
# Ch4, bsk1_id:36321
# Freq, Gain 
20500,-5
20504,-5
20504,-3.3
20514,-3.3
20514,-1.7
20520,-1.7
20520,-1.5
20560,-1.5
20560,-1.7
20566,-1.7
20566,-3.3
20576,-3.3
20576,-5
20580,-5
