# WIC3-J1-J2 WG3-A-B WF3-J01-J02 023-A-B WST1-J1-J2 026-A-B WLNA2-J05-J06 029-A-B WST5-J1-J2 031-A-B WISOK3-1-2 032-A-B WD3-J1-J3 033-A-B WISOK11-1-2 164-A-B WSC14-J3-J2 173-A-B WST14-J1-J3 WU49.1-J2-J1 076-A-B WU49.2-J1-J2 WST20-J3-J2 397-A-B WST46-J1-J2 190-A-B W3CN9-J01-J02 191-A-B WST55-J1-J2 218-A-B WDTP1-J98-J59 226-A-B WST61-J1-J2 242-A-B WU63-J1-J2 W4CN1-J11-J12 243-A-B WST66-J1-J2 270-A-B WF18-J1-J2 271-A-B WISOK22-1-2 272-A-B WD10-1-3 273-A-B WISOK29-1-2 274-A-B WU69-J1-J2 WST70-J1-J2 297-A-B W5CN5-J01-J02 303-A-B WST74-J1-J2 WU74.1-J2-J1 328-A-B WU74.2-J1-J2 WSC18-J4-J3 330-A-B WIM2-I2-O2 343-A-B WSC21-J1-J4 346-A-B WST82-J1-J2 365-A-B W6CN3-J01-J02 366-A-B WSX5-J2-J1 WSCW2-J3-J4 WSX2-J1-J2 368-A-B WSX2M-J2-J1 WSA2-J4-J3 WSX5M-J1-J2 373-A-B WCP3M-J1-J2 374-A-B WTW3M-Input-Output WAD1.9-A-B WG46.1-A-B WG46.2-A-B WAD1.10-A-B WS3M-I/P-0/P WAD1.11-A-B WG47.1-A-B WG47.2-A-B WAD1.12-A-B WSA4-J3-J2 WAD1.14-A-B WG50-A-B WAD5.2-A-B WF19-J01-J02 WAD6-A-B WG51.1-A-B WG51.2-A-B WG51.3-A-B WAD7-A-B WFR1-4-1 WG52-A-B WOC3-1-2
# 5725.0_250.0_-45.0H_CIF-5050.0G30.0_SKA18460_KKA11840_MLO10_DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -320}
# Ch5M, bsk1_id:3656
# Freq, Gain 
32508,-5
32545,-5
32545,-3.3
32565,-3.3
32565,-1.7
32595,-1.7
32595,-1.5
32655,-1.5
32655,-1.7
32685,-1.7
32685,-3.3
32705,-3.3
32705,-5
32742,-5
