# WIC5-J1-J2 WG5-A-B WF5-J01-J02 039-A-B WST3-J1-J2 041-A-B WLNA3-J02-J03 044-A-B WST7-J1-J2 047-A-B WISOK5-1-2 048-A-B WD5-J1-J3 049-A-B WISOK15-1-2 166-A-B WSC12-J3-J2 171-A-B WST12-J1-J3 WU45.1-J2-J1 070-A-B WU45.2-J1-J2 WST18-J3-J2 395-A-B WST44-J1-J2 186-A-B W3CN7-J01-J02 187-A-B WST53-J1-J2 216-A-B WDTP1-J78-J39 224-A-B WST59-J1-J2 238-A-B WU61-J1-J2 W4CN2-J11-J12 239-A-B WST64-J1-J2 256-A-B WF16-J1-J2 257-A-B WISOK20-1-2 258-A-B WD8-1-3 259-A-B WISOK25-1-2 260-A-B WU67-J1-J2 WST68-J1-J2 295-A-B W5CN3-J01-J02 301-A-B WST72-J1-J2 318-A-B WISOK40-1-2 319-A-B WU72-J1-J2 WD16-J1-J3 320-A-B WISOK43-1-2 WU76-J2-J1 321-A-B WIM1-I3-O3 WU83-J2-J1 339-A-B WST77-J1-J2 350-A-B WU90-J1-J2 WCPA2-J01B-J02B 2BT-A-B WU2B-J1-J2 WTW2B-Input-Output WG16.1-A-B WG16.2-A-B WG16.3-A-B WISO4-J01-J02 WG17-A-B WSR4-J4-J2 WG18.1-A-B WG18.2-A-B WG18.3-A-B WG18.4-A-B WOM2-J03-J08 WG37.1-A-B WG37.2-A-B WG37.3-A-B WG37.4-A-B WOC1-1-2
# 5725.0_80.0_-45.0H_CIF-5050.0G30.0_SKA18120_KKA0_MLO10_DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -235}
# Ch3, bsk1_id:3680
# Freq, Gain 
20405,-5
20409,-5
20409,-3.3
20419,-3.3
20419,-1.7
20425,-1.7
20425,-1.5
20465,-1.5
20465,-1.7
20471,-1.7
20471,-3.3
20481,-3.3
20481,-5
20485,-5
