# WIC6-J1-J2 WG6-A-B WF6-J01-J02 040-A-B WST4-J1-J4 043-A-B WLNA3-J08-J09 046-A-B WST8-J4-J2 051-A-B WISOK6-1-2 052-A-B WD6-J1-J3 053-A-B WISOK17-1-2 167-A-B WSC11-J3-J2 170-A-B WST11-J1-J3 WU43.1-J2-J1 067-A-B WU43.2-J1-J2 WST17-J3-J2 394-A-B WST43-J1-J4 196-B-A WST44-J3-J4 195-B-A WST45-J3-J4 194-B-A WST46-J3-J4 192-A-B W3CN10-J01-J02 193-A-B WST56-J1-J2 219-A-B WDTP1-J108-J69 227-A-B WST62-J1-J2 244-A-B WU64-J1-J2 W4CN1-J21-J22 245-A-B WST66-J4-J2 270-A-B WF18-J1-J2 271-A-B WISOK22-1-2 272-A-B WD10-1-3 273-A-B WISOK29-1-2 274-A-B WU69-J1-J2 WST70-J1-J4 298-B-A W5CN6-J01-J02 304-A-B WST74-J4-J3 310-A-B WST73-J4-J2 WU73.1-J2-J1 326-A-B WU73.2-J1-J2 WSC17-J4-J3 327-A-B WIM2-I1-O1 341-A-B WSC22-J1-J2 344-A-B WU86-J1-J2 WST80-J1-J4 354-A-B WU94-J1-J2 WCPA4-J01B-J02B 4BT-A-B WU4B-J1-J2 WTW4B-Input-Output WG28.1-A-B WG28.2-A-B WG28.3-A-B WISO8-J01-J02 WG29-A-B WSR8-J4-J1 WG35-A-B WSR7-J3-J2 WG27.1-A-B WG27.2-A-B WG27.3-A-B WOM2-J07-J08 WG37.1-A-B WG37.2-A-B WG37.3-A-B WG37.4-A-B WOC1-1-2
# 6475.0_250.0_-45.0H_CIF-5800.0G30.0_SKA18740_KKA0_MLO10_DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -320}
# Ch6, bsk1_id:3694
# Freq, Gain 
20940,-5
20977,-5
20977,-3.3
20997,-3.3
20997,-1.7
21027,-1.7
21027,-1.5
21087,-1.5
21087,-1.7
21117,-1.7
21117,-3.3
21137,-3.3
21137,-5
21174,-5
